<X> <Y>
2.369170540000000e-02 7.295683105468750e+03
2.538797240000000e-02 7.252914062500000e+03
2.708423930000000e-02 7.207442382812500e+03
2.878050620000000e-02 7.159318359375000e+03
3.047677310000000e-02 7.108595703125000e+03
3.217304010000000e-02 7.055329589843750e+03
3.386930700000000e-02 6.999576660156250e+03
3.556557390000000e-02 6.941395507812500e+03
3.726184080000000e-02 6.880852539062500e+03
3.895810770000000e-02 6.818005859375000e+03
4.065437470000000e-02 6.752929199218750e+03
4.235064160000000e-02 6.685689453125000e+03
4.404690850000000e-02 6.616353515625000e+03
4.574317540000000e-02 6.544997070312500e+03
4.743944240000000e-02 6.471692871093750e+03
4.913570930000000e-02 6.396515625000000e+03
5.083197620000000e-02 6.319546386718750e+03
5.252824310000000e-02 6.240859863281250e+03
5.422451000000000e-02 6.160538085937500e+03
5.592077700000000e-02 6.078661621093750e+03
5.761704390000000e-02 5.995309570312500e+03
5.931331080000000e-02 5.910565917968750e+03
6.100957770000000e-02 5.824515625000000e+03
6.270584460000000e-02 5.737240234375000e+03
6.440211160000001e-02 5.648823730468750e+03
6.609837850000000e-02 5.559353515625000e+03
6.779464540000001e-02 5.468911621093750e+03
6.949091230000000e-02 5.377583984375000e+03
7.118717930000000e-02 5.285455078125000e+03
7.288344619999999e-02 5.192609375000000e+03
7.457971310000000e-02 5.099130859375000e+03
7.627597999999999e-02 5.005103515625000e+03
7.797224690000000e-02 4.910612304687500e+03
7.966851390000000e-02 4.815737792968750e+03
8.136478079999999e-02 4.720561035156250e+03
8.306104770000000e-02 4.625165527343750e+03
8.475731459999999e-02 4.529630859375000e+03
8.645358160000000e-02 4.434035644531250e+03
8.814984850000000e-02 4.338456054687500e+03
8.984611540000000e-02 4.242971191406250e+03
9.154238230000000e-02 4.147654785156250e+03
9.323864920000000e-02 4.052581298828125e+03
9.493491620000000e-02 3.957822021484375e+03
9.663118310000000e-02 3.863446533203125e+03
9.832745000000000e-02 3.769526367187500e+03
1.000237170000000e-01 3.676128173828125e+03
1.017199840000000e-01 3.583314453125000e+03
1.017296380000000e-01 3.582788330078125e+03
1.034162510000000e-01 3.491152099609375e+03
1.051125180000000e-01 3.399699218750000e+03
1.068087850000000e-01 3.309017333984375e+03
1.072352140000000e-01 3.286348632812500e+03
1.085050520000000e-01 3.219161865234375e+03
1.102013180000000e-01 3.130190673828125e+03
1.118975850000000e-01 3.042154296875000e+03
1.127407900000000e-01 2.998756103515625e+03
1.135938520000000e-01 2.955104492187500e+03
1.152901190000000e-01 2.869088378906250e+03
1.169863860000000e-01 2.784154785156250e+03
1.182463650000000e-01 2.721792480468750e+03
1.186826530000000e-01 2.700345458984375e+03
1.203789200000000e-01 2.617702880859375e+03
1.220751870000000e-01 2.536266357421875e+03
1.237519410000000e-01 2.456988525390625e+03
1.237714540000000e-01 2.456072998046875e+03
1.254677210000000e-01 2.377156982421875e+03
